### DATA:
#
# 2167
#      Q             I(Q)           Error     
0.00000000E+00  0.00000000E+00  1.00000000E-10
4.42964563E-04  0.00000000E+00  0.00000000E+00
8.85929122E-04  1.25000004E-01  8.26797309E-02
1.32889367E-03  1.00000007E-01  6.70820438E-02
1.77185820E-03  8.33333433E-02  5.64169401E-02
2.21482272E-03  1.25000023E-01  5.22912614E-02
2.65778721E-03  8.33333557E-02  4.60642456E-02
3.10075167E-03  4.16666819E-02  2.88424545E-02
3.54371609E-03  0.00000000E+00  0.00000000E+00
3.98668048E-03  5.35714609E-02  3.00896256E-02
4.42964482E-03  4.41176800E-02  2.49031486E-02
4.87260911E-03  6.25000564E-02  3.02577097E-02
5.31557334E-03  8.75000939E-02  3.62015150E-02
5.75853752E-03  2.17391578E-02  1.52039019E-02
6.20150163E-03  2.27273059E-02  1.58869617E-02
6.64446568E-03  3.12500524E-02  1.77580789E-02
7.08742964E-03  4.16667462E-02  2.03947266E-02
7.53039353E-03  4.31035411E-02  1.88564721E-02
7.97335734E-03  2.50000604E-02  1.42522272E-02
8.41632106E-03  2.50000673E-02  1.42522312E-02
8.85928468E-03  4.03227009E-02  2.10272537E-02
9.30224820E-03  6.94446728E-02  2.11841035E-02
9.74521162E-03  4.41178063E-02  1.76092357E-02
1.01881749E-02  4.28573119E-02  1.71173954E-02
1.06311381E-02  3.28948781E-02  1.44670557E-02
1.10741012E-02  2.97620434E-02  1.31104291E-02
1.15170642E-02  2.84092341E-02  1.25232268E-02
1.19600270E-02  1.82927823E-02  1.04642993E-02
1.24029897E-02  4.76193260E-02  1.64302284E-02
1.28459522E-02  9.37505878E-02  2.10359319E-02
1.32889146E-02  4.25534770E-02  1.47213415E-02
1.37318769E-02  1.92309070E-02  9.52254839E-03
1.41748390E-02  5.00003817E-02  1.54111527E-02
1.46178009E-02  4.80773134E-02  1.48334140E-02
1.50607627E-02  7.45620461E-02  1.73967115E-02
1.55037243E-02  4.80773622E-02  1.48334291E-02
1.59466858E-02  3.44830918E-02  1.19795698E-02
1.63896471E-02  4.82461065E-02  1.54878307E-02
1.68326081E-02  3.12503364E-02  1.08746568E-02
1.72755690E-02  4.43553417E-02  1.30736821E-02
1.77185297E-02  4.23733868E-02  1.31126780E-02
1.81614902E-02  3.67651666E-02  1.14104490E-02
1.86044505E-02  4.16672146E-02  1.22986212E-02
1.90474106E-02  5.55563214E-02  1.43632462E-02
1.94903705E-02  3.62324070E-02  1.12482112E-02
1.99333302E-02  3.67652609E-02  1.14104782E-02
2.03762896E-02  4.05411801E-02  1.14635486E-02
2.08192488E-02  3.42471393E-02  1.06428375E-02
2.12622078E-02  4.16673824E-02  1.21874257E-02
2.17051665E-02  6.57906513E-02  1.42190823E-02
2.21481250E-02  2.97624595E-02  9.27060289E-03
2.25910833E-02  1.54323980E-02  6.84811823E-03
2.30340412E-02  2.88467354E-02  9.47587740E-03
2.34769990E-02  5.23266772E-02  1.20065016E-02
2.39199565E-02  5.24702765E-02  1.23875544E-02
2.43629137E-02  4.78734201E-02  1.10104683E-02
2.48058706E-02  6.39549836E-02  1.31920341E-02
2.52488273E-02  3.88898309E-02  1.01896399E-02
2.56917836E-02  3.57151814E-02  9.72711501E-03
2.61347397E-02  2.71746183E-02  8.47580694E-03
2.65776955E-02  3.82663331E-02  9.68944407E-03
2.70206510E-02  5.15478217E-02  1.12254398E-02
2.74636062E-02  3.82664028E-02  9.68946170E-03
2.79065611E-02  3.25009617E-02  8.86645517E-03
2.83495157E-02  5.67027624E-02  1.17413371E-02
2.87924699E-02  4.16679791E-02  9.61445083E-03
2.92354239E-02  4.75015426E-02  1.06356345E-02
2.96783775E-02  3.30199730E-02  8.67804096E-03
3.01213308E-02  3.76119161E-02  8.94903916E-03
3.05642837E-02  4.08668351E-02  1.02851439E-02
3.10072363E-02  7.14311808E-02  1.21680364E-02
3.14501886E-02  3.73845825E-02  9.16978742E-03
3.18931405E-02  4.58351047E-02  9.98989157E-03
3.23360920E-02  4.31051608E-02  9.42859033E-03
3.27790432E-02  4.31052080E-02  9.90902645E-03
3.32219940E-02  5.04222825E-02  1.00295771E-02
3.36649445E-02  6.04192684E-02  1.20132270E-02
3.41078945E-02  3.22594904E-02  7.93372773E-03
3.45508442E-02  6.72299401E-02  1.18565646E-02
3.49937935E-02  3.02433426E-02  7.68981444E-03
3.54367424E-02  5.57718918E-02  1.04246905E-02
3.58796909E-02  4.60022501E-02  9.36891598E-03
3.63226391E-02  4.10468337E-02  8.56973685E-03
3.67655868E-02  7.54006978E-02  1.17614606E-02
3.72085341E-02  3.35838562E-02  7.78174139E-03
3.76514809E-02  6.20471376E-02  1.06238491E-02
3.80944274E-02  5.33117630E-02  9.63226030E-03
3.85373734E-02  4.89158037E-02  9.18073441E-03
3.89803190E-02  4.58041711E-02  9.13311163E-03
3.94232642E-02  3.50020669E-02  7.50322034E-03
3.98662089E-02  5.43511081E-02  9.64969281E-03
4.03091532E-02  5.72952038E-02  9.68389276E-03
4.07520970E-02  5.00031551E-02  9.37298999E-03
4.11950404E-02  4.28109795E-02  8.37692527E-03
4.16379833E-02  5.26350461E-02  9.05648080E-03
4.20809258E-02  6.37973958E-02  1.01481764E-02
4.25238677E-02  3.83359672E-02  7.83889393E-03
4.29668092E-02  4.27245158E-02  8.04478452E-03
4.34097502E-02  3.45419468E-02  7.40635329E-03
4.38526908E-02  4.96930719E-02  8.56354595E-03
4.42956308E-02  5.75700813E-02  1.00032879E-02
4.47385704E-02  4.21718818E-02  7.79989008E-03
4.51815094E-02  4.50345488E-02  8.46219243E-03
4.56244480E-02  3.68618897E-02  7.54325204E-03
4.60673860E-02  4.01818114E-02  7.86295792E-03
4.65103235E-02  6.05639840E-02  9.39976261E-03
4.69532605E-02  4.88546669E-02  8.17129657E-03
4.73961970E-02  6.99464462E-02  1.04930538E-02
4.78391329E-02  4.21723417E-02  7.79997516E-03
4.82820683E-02  5.55604766E-02  8.99991278E-03
4.87250032E-02  4.50622043E-02  7.90897223E-03
4.91679375E-02  5.41716424E-02  8.66188488E-03
4.96108713E-02  4.28611509E-02  8.17167894E-03
5.00538045E-02  5.05666112E-02  8.44878544E-03
5.04967372E-02  5.10802176E-02  8.07191952E-03
5.09396693E-02  5.41720074E-02  8.66194326E-03
5.13826008E-02  5.30779500E-02  8.37877790E-03
5.18255317E-02  5.16357041E-02  8.15731267E-03
5.22684621E-02  5.71867870E-02  8.67425588E-03
5.27113919E-02  3.57180563E-02  6.75007817E-03
5.31543211E-02  4.92074100E-02  8.10924981E-03
5.35972497E-02  4.75595387E-02  8.07747850E-03
5.40401777E-02  3.10915327E-02  6.24710290E-03
5.44831051E-02  5.21903521E-02  7.74850487E-03
5.49260319E-02  5.31975870E-02  8.39784407E-03
5.53689581E-02  6.68394686E-02  8.78650379E-03
5.58118836E-02  5.55621313E-02  8.33186951E-03
5.62548086E-02  5.14767776E-02  8.11500130E-03
5.66977329E-02  5.09770999E-02  8.03815364E-03
5.71406565E-02  4.18833683E-02  7.35891402E-03
5.75835796E-02  4.88156737E-02  7.80734996E-03
5.80265019E-02  5.94135413E-02  8.49920315E-03
5.84694237E-02  5.09325415E-02  7.65733508E-03
5.89123448E-02  5.92495190E-02  8.12716084E-03
5.93552652E-02  6.00080323E-02  8.39755186E-03
5.97981850E-02  4.65972397E-02  7.10571701E-03
6.02411040E-02  6.92583756E-02  8.69887502E-03
6.06840225E-02  5.27596754E-02  7.91090835E-03
6.11269402E-02  5.44058718E-02  7.71704445E-03
6.15698573E-02  4.46073637E-02  7.07305709E-03
6.20127736E-02  5.59292243E-02  7.76596703E-03
6.24556893E-02  4.93192358E-02  7.85307549E-03
6.28986043E-02  5.02307645E-02  7.29750341E-03
6.33415186E-02  5.66753060E-02  7.70799414E-03
6.37844321E-02  4.27697690E-02  6.87775372E-03
6.42273450E-02  5.34271770E-02  7.80322603E-03
6.46702571E-02  6.60897967E-02  8.24543918E-03
6.51131685E-02  5.37367262E-02  7.46760165E-03
6.55560792E-02  5.35801772E-02  7.59541166E-03
6.59989892E-02  7.09863241E-02  8.75254516E-03
6.64418984E-02  4.95863758E-02  7.36028159E-03
6.68848068E-02  6.63156192E-02  8.48774280E-03
6.73277146E-02  5.32878660E-02  7.19014640E-03
6.77706215E-02  4.85316754E-02  6.97984002E-03
6.82135277E-02  6.60116699E-02  7.85275756E-03
6.86564332E-02  6.04274885E-02  7.69109543E-03
6.90993379E-02  4.20158187E-02  6.42246577E-03
6.95422418E-02  5.88343396E-02  7.36869852E-03
6.99851449E-02  5.10511666E-02  7.40373390E-03
7.04280473E-02  5.40101782E-02  7.14865435E-03
7.08709488E-02  4.58254778E-02  6.89417984E-03
7.13138496E-02  4.26218717E-02  6.35950704E-03
7.17567496E-02  6.34889827E-02  8.10611458E-03
7.21996487E-02  4.92065325E-02  6.85440943E-03
7.26425471E-02  5.38569514E-02  7.00049311E-03
7.30854446E-02  5.91205249E-02  7.83751995E-03
7.35283414E-02  6.20497824E-02  7.45759417E-03
7.39712373E-02  4.28104562E-02  6.31428978E-03
7.44141324E-02  5.46990078E-02  7.23978831E-03
7.48570266E-02  4.56301524E-02  6.43491792E-03
7.52999200E-02  5.57740967E-02  6.99677066E-03
7.57428126E-02  5.92721784E-02  7.42101795E-03
7.61857043E-02  6.58039847E-02  7.71733129E-03
7.66285952E-02  5.75667994E-02  7.10057960E-03
7.70714852E-02  6.04829637E-02  7.16227755E-03
7.75143744E-02  6.11250646E-02  7.96514010E-03
7.79572627E-02  6.29641783E-02  7.61083617E-03
7.84001501E-02  5.62862069E-02  7.12157845E-03
7.88430366E-02  7.03291096E-02  7.63401510E-03
7.92859223E-02  5.81124706E-02  7.05303715E-03
7.97288071E-02  6.59003918E-02  7.56317411E-03
8.01716909E-02  5.94550781E-02  6.99242185E-03
8.06145739E-02  6.85100659E-02  7.77938831E-03
8.10574560E-02  6.46419863E-02  7.65914976E-03
8.15003372E-02  6.18435636E-02  7.32181202E-03
8.19432174E-02  4.88138226E-02  6.30581171E-03
8.23860968E-02  6.66838625E-02  7.29850737E-03
8.28289752E-02  6.74237174E-02  7.61809538E-03
8.32718527E-02  6.25164696E-02  7.03662203E-03
8.37147293E-02  6.33730377E-02  7.43196865E-03
8.41576049E-02  5.62231822E-02  6.77762952E-03
8.46004796E-02  5.70187618E-02  6.91218669E-03
8.50433534E-02  6.63447603E-02  7.45534314E-03
8.54862262E-02  5.77083299E-02  6.88763223E-03
8.59290980E-02  5.18540112E-02  6.41250106E-03
8.63719689E-02  6.25177190E-02  7.21914685E-03
8.68148388E-02  5.93118550E-02  6.87677200E-03
8.72577078E-02  5.80233201E-02  6.68339833E-03
8.77005757E-02  7.38310979E-02  8.10132823E-03
8.81434427E-02  7.38854450E-02  7.71452959E-03
8.85863087E-02  6.32904744E-02  7.02377229E-03
8.90291738E-02  7.04095519E-02  7.54332414E-03
8.94720378E-02  6.21156656E-02  6.85543149E-03
8.99149008E-02  6.92983934E-02  7.13105149E-03
